# ============================================================================
#  CATALOGO DE PERFILES DE ACERO DE CADLINK
# ============================================================================
#
#  Generado del manual IMCA con tools/catalogo_imca.py
#  1617 perfiles de 12 familias.
#  TODAS LAS MEDIDAS EN CENTIMETROS.
#
#  Este archivo llena los desplegables de la pestaña «Secciones Acero»: al
#  elegir la familia, la celda «Perfil» ofrece los perfiles de esa familia, y
#  al elegir uno se traen sus medidas solas.
#
#  Se puede editar con el Bloc de notas o con Excel, y no hay que recompilar
#  nada: se guarda, se vuelve a abrir CadLink y los cambios ya estan.
#
#  familia;nombre;peralte;ancho;e_alma;e_patin;labio;radio;ancho2
#
#     peralte   en OC y OS es el DIAMETRO EXTERIOR; en la L, el ala larga
#     ancho     patin en I/te/canales, cara en OR, ala corta en la L
#     e_alma    alma en I/te/canal; PARED en OR y OC; lamina en CF y ZF
#     e_patin   solo las formas laminadas: I, te y canal
#     labio     solo el CF
#     radio     doblez exterior: el CF y la ZF
#     ancho2    solo la ZF: su patin ANGOSTO, el que permite el traslape
#
#  El redondo macizo (OS) solo usa el peralte: no tiene pared ni ancho.
#
#
# --------------------------------------------------------------------------
#  IR: 273 perfiles, forma I   (del IMCA: W)
# --------------------------------------------------------------------------
IR;W - 14'' x 61.01 lb/ft;35.4;25.4;0.96;1.64;;;
IR;W - 14'' x 68.07 lb/ft;35.6;25.4;1.06;1.83;;;
IR;W - 14'' x 74.05 lb/ft;36.1;25.7;1.15;2;;;
IR;W - 14'' x 82.05 lb/ft;36.4;25.7;1.3;2.18;;;
IR;W - 14'' x 90.04 lb/ft;35.6;36.9;1.12;1.81;;;
IR;W - 14'' x 99.05 lb/ft;36.1;37.1;1.24;1.99;;;
IR;W - 14'' x 109.06 lb/ft;36.4;37.1;1.34;2.19;;;
IR;W - 14'' x 120.08 lb/ft;36.9;37.4;1.5;2.39;;;
IR;W - 14'' x 132.04 lb/ft;37.4;37.4;1.64;2.62;;;
IR;W - 14'' x 145.08 lb/ft;37.6;39.4;1.73;2.77;;;
IR;W - 14'' x 159.05 lb/ft;38.1;39.7;1.9;3.03;;;
IR;W - 14'' x 175.52 lb/ft;38.7;39.9;2.11;3.33;;;
IR;W - 14'' x 193.06 lb/ft;39.4;39.9;2.27;3.66;;;
IR;W - 14'' x 211.07 lb/ft;39.9;40.2;2.49;3.97;;;
IR;W - 14'' x 233.11 lb/ft;40.7;40.4;2.72;4.37;;;
IR;W - 14'' x 257.1 lb/ft;41.7;40.7;3;4.81;;;
IR;W - 14'' x 283.1 lb/ft;42.5;40.9;3.28;5.26;;;
IR;W - 14'' x 311.12 lb/ft;43.5;41.2;3.59;5.75;;;
IR;W - 14'' x 342.1 lb/ft;44.5;41.7;3.92;6.28;;;
IR;W - 14'' x 370.12 lb/ft;45.5;42;4.22;6.76;;;
IR;W - 14'' x 398.14 lb/ft;46.5;42.2;4.5;7.24;;;
IR;W - 14'' x 426.16 lb/ft;47.5;42.5;4.78;7.73;;;
IR;W - 14'' x 455.12 lb/ft;48.3;42.7;5.14;8.16;;;
IR;W - 14'' x 500.15 lb/ft;49.8;43.2;5.57;8.89;;;
IR;W - 14'' x 550.14 lb/ft;51.4;43.7;6.05;9.71;;;
IR;W - 14'' x 605.17 lb/ft;53.1;44.2;6.61;10.57;;;
IR;W - 14'' x 665.18 lb/ft;54.9;45;7.19;11.49;;;
IR;W - 14'' x 730.23 lb/ft;56.9;45.5;7.8;12.48;;;
IR;W - 16'' x 26.07 lb/ft;39.9;14;0.64;0.88;;;
IR;W - 16'' x 31.04 lb/ft;40.4;14.1;0.7;1.12;;;
IR;W - 16'' x 36.02 lb/ft;40.4;17.8;0.75;1.1;;;
IR;W - 16'' x 40.05 lb/ft;40.7;17.8;0.78;1.29;;;
IR;W - 16'' x 45.02 lb/ft;40.9;17.9;0.88;1.44;;;
IR;W - 16'' x 50.06 lb/ft;41.5;18;0.97;1.61;;;
IR;W - 16'' x 57.05 lb/ft;41.7;17.1;1.1;1.82;;;
IR;W - 16'' x 67.06 lb/ft;41.5;26;1.01;1.69;;;
IR;W - 16'' x 77.07 lb/ft;42;26.2;1.16;1.94;;;
IR;W - 16'' x 89.04 lb/ft;42.7;26.5;1.34;2.23;;;
IR;W - 16'' x 100.06 lb/ft;43.2;26.5;1.49;2.51;;;
IR;W - 18'' x 35.01 lb/ft;45;15.3;0.77;1.08;;;
IR;W - 18'' x 40.05 lb/ft;45.5;15.3;0.81;1.34;;;
IR;W - 18'' x 46.03 lb/ft;46;15.4;0.92;1.54;;;
IR;W - 18'' x 50.06 lb/ft;45.8;19.1;0.91;1.45;;;
IR;W - 18'' x 55.03 lb/ft;46;19.2;1;1.61;;;
IR;W - 18'' x 60.07 lb/ft;46.3;19.3;1.06;1.77;;;
IR;W - 18'' x 65.05 lb/ft;46.8;19.3;1.15;1.91;;;
